Alexandra District Health,Public,12 Cooper Street,"Alexandra, Vic 3714","
03 5772 0900
",http://www.alburywodongaprivate.com.au,< 50,Member of Ramsay Health Care Australia Pty Ltd,['Emergency services']
Alice Springs Hospital,Public,6 Gap Road,"Alice Springs, NT 870","
08 8951 7777
",http://www.health.nt.gov.au/Hospitals/Alice_Springs_Hospital/index.aspx,100–199,Member of Ramsay Health Care Australia Pty Ltd,"['Acute renal dialysis unit', 'Coronary care unit', 'Emergency department', 'Intensive care unit', 'Maintenance renal dialysis unit', 'Obstetric services', 'Paediatric service', 'Psychiatric unit', 'Rehabilitation unit']"
Allamanda Private Hospital,Private,21 Spendelove St,"Southport, Qld 4215","
07 5532 6444
",http://allamandaprivatehospital.com.au,200–500,Member of Healthscope,"['Acute renal dialysis unit', 'Coronary care unit', 'Intensive care unit', 'Obstetric services', 'Paediatric service']"
Allowah Presbyterian Children's Hospital,Private,8 Perry Street,"Dundas, NSW 2117","
02 9858 4994
",http://www.allowah.org.au,< 50,,['Paediatric service']
Alpha Hospital,Public,1 Burns Street,"Alpha, Qld 4724","
07 4809 7000
",http://www.centralwest.health.qld.gov.au/our-locations/alpha,< 50,,"['Emergency services', 'Nursing home care unit']"
Alpine Health [Bright],Public,36-42 Cobden Street,"Bright, Vic 3741","
03 5755 0100
",http://www.alpinehealth.org.au,< 50,,"['Emergency services', 'Nursing home care unit']"
Alpine Health [Mount Beauty],Public,10 Hollonds Street,"Mt Beauty, Vic 3699","
03 5754 3500
",http://www.alpinehealth.org.au,< 50,,"['Emergency services', 'Nursing home care unit']"
Alpine Health [Myrtleford],Public,30 O'Donnell Avenue,"Myrtleford, Vic 3736","
03 5751 9300
",http://www.alpinehealth.org.au,< 50,,"['Acute renal dialysis unit', 'Emergency services', 'Nursing home care unit']"
Angaston District Hospital,Public,29 North Street,"Angaston, SA 5353","
08 8563 8500
",http://www.sahealth.sa.gov.au/angastonhospital,< 50,,"['Domiciliary care unit', 'Emergency services', 'Geriatric assessment unit']"
Angliss Hospital,Public,Albert Street,"Upper Ferntree Gully, Vic 3156","
1300 342 255
",https://www.easternhealth.org.au/locations/angliss-hospital/item/215,100–199,,"['Coronary care unit', 'Domiciliary care unit', 'Emergency department', 'Geriatric assessment unit', 'Maintenance renal dialysis unit', 'Nursing home care unit', 'Obstetric services', 'Paediatric service', 'Rehabilitation unit']"
Armadale-Kelmscott Memorial Hospital,Public,3056 Albany Highway,"Armadale, WA 6112","
08 9391 2000
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=6,200–500,,"['Emergency department', 'Geriatric assessment unit', 'Maintenance renal dialysis unit', 'Obstetric services', 'Paediatric service', 'Psychiatric unit', 'Rehabilitation unit']"
Armidale Hospital,Public,226 Rusden Street,"Armidale, NSW 2350","
02 6776 9500
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=6,50–99,,"['Alcohol and drug unit', 'Coronary care unit', 'Emergency department', 'Geriatric assessment unit', 'Hospice care unit', 'Intensive care unit', 'Maintenance renal dialysis unit', 'Obstetric services', 'Oncology unit', 'Paediatric service', 'Psychiatric unit', 'Rehabilitation unit']"
Armidale Private Hospital,Private,Rusden Street,"Armidale, NSW 2350","
02 6771 4000
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=6,< 50,Member of Ramsay Health Care Australia Pty Ltd,[]
Ashford Hospital,Private,55 Anzac Highway,"Ashford, SA 5035","
08 8375 5222
",http://www.ashfordhospital.org.au,200–500,Member of Healthscope,"['Coronary care unit', 'Intensive care unit', 'Obstetric services', 'Paediatric service']"
Atherton Hospital,Public,Corner of Louise and Jack Streets,"Atherton, Qld 4883","
07 4091 0211
",http://www.health.qld.gov.au/services/cairns-hinterland/cairns_ath_hosp.asp,< 50,Member of Healthscope,"['Emergency services', 'Obstetric services']"
Attadale Rehabilitation Hospital,Private,21 Hislop Road,"Attadale, WA 6156","
08 9330 1000
",http://www.attadalerehabilitation.com.au,< 50,Member of Ramsay Health Care Australia Pty Ltd,['Obstetric services']
Auburn Hospital,Public,18-20 Hargrave Road,"Auburn, NSW 2144","
02 8759 3000
",http://www.wslhd.health.nsw.gov.au/Auburn-Hospital,100–199,Member of Ramsay Health Care Australia Pty Ltd,"['Coronary care unit', 'Diabetes unit', 'Domiciliary care unit', 'Emergency department', 'Geriatric assessment unit', 'Maintenance renal dialysis unit', 'Major plastic or reconstructive surgery unit', 'Obstetric services', 'Paediatric service']"
Augathella Hospital,Public,Cavanagh Street,"Augathella, Qld 4477","
07 4656 7100
",http://www.health.qld.gov.au/services/southwest/swest_auga_hosp.asp,< 50,Member of Ramsay Health Care Australia Pty Ltd,"['Domiciliary care unit', 'Emergency services']"
Augusta Hospital,Public,Donovan Street,"Augusta, WA 6290","
08 9758 3222
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=10,< 50,Member of Ramsay Health Care Australia Pty Ltd,"['Domiciliary care unit', 'Emergency services', 'Geriatric assessment unit', 'Nursing home care unit']"
Austin Hospital [Heidelberg],Public,145 Studley Road,"Heidelberg, Vic 3084","
03 9496 5000
",http://www.austin.org.au,> 500,Member of Ramsay Health Care Australia Pty Ltd,"['Acute renal dialysis unit', 'Acute spinal cord injury unit', 'Bone marrow transplantation unit', 'Cardiac surgery unit', 'Clinical genetics unit', 'Coronary care unit', 'Diabetes unit', 'Emergency department', 'Epilepsy centre', 'Geriatric assessment unit', 'Hospice care unit', 'Infectious diseases unit', 'Intensive care unit', 'Liver transplantation unit', 'Maintenance renal dialysis unit', 'Major plastic or reconstructive surgery unit', 'Neurosurgical unit', 'Nursing home care unit', 'Oncology unit', 'Paediatric service', 'Psychiatric unit', 'Rehabilitation unit', 'Renal transplantation unit', 'Sleep centre']"
Ayr Hospital,Public,2 Chippendale Street,"Ayr, Qld 4807","
07 4783 0855
",http://www.health.qld.gov.au/services/townsville/tville_ayr_hosp.asp,< 50,Member of Ramsay Health Care Australia Pty Ltd,"['Emergency services', 'Obstetric services']"
Babinda Hospital,Public,128 Munro Street,"Babinda, Qld 4861","
07 4067 8200
",http://www.health.qld.gov.au/services/cairns-hinterland/cairns_babin_hosp.asp,< 50,Member of Ramsay Health Care Australia Pty Ltd,"['Domiciliary care unit', 'Emergency services', 'Nursing home care unit']"
Baillie Henderson Hospital,Public,Corner of Hogg and Tor Streets,"Toowoomba, Qld 4350","
07 4699 8888
",http://www.health.qld.gov.au/services/darlingdowns/ddowns-baillie-hosp.asp,100–199,Member of Ramsay Health Care Australia Pty Ltd,['Psychiatric unit']
Bairnsdale Regional Health Service,Public,122 Day Street,"Bairnsdale, Vic 3875","
03 5150 3333
",http://www.health.qld.gov.au/services/darlingdowns/ddowns-baillie-hosp.asp,50–99,Member of Ramsay Health Care Australia Pty Ltd,"['Domiciliary care unit', 'Emergency department', 'Geriatric assessment unit', 'Maintenance renal dialysis unit', 'Nursing home care unit', 'Obstetric services', 'Oncology unit', 'Rehabilitation unit']"
Balaklava Soldiers' Memorial District Hospital,Public,16 War Memorial Drive,"Balaklava, SA 5461","
08 8862 1400
",http://www.sahealth.sa.gov.au/balaklavahospital,< 50,Member of Ramsay Health Care Australia Pty Ltd,"['Emergency services', 'Nursing home care unit']"
Ballarat Day Procedure Centre,Private,1119-1123 Howitt Street,"Wendouree, Vic 3350","
03 5338 2666
",http://www.curagroup.com.au/ballarat-day-procedure-centre/,< 50,Member of Cura Day Hospitals Group,[]
Ballarat Health Services [Base Campus],Public,1 Dummond Street North,"Ballarat Central, Vic 3350","
03 5320 4000
",http://www.bhs.org.au,200–500,Member of Cura Day Hospitals Group,"['Coronary care unit', 'Diabetes unit', 'Emergency department', 'Intensive care unit', 'Maintenance renal dialysis unit', 'Obstetric services', 'Oncology unit', 'Paediatric service', 'Psychiatric unit']"
Ballarat Health Services [Queen Elizabeth Campus],Public,102 Ascot Street,"Ballarat, Vic 3350","
03 5320 3700
",http://www.bhs.org.au,50–99,Member of Cura Day Hospitals Group,"['Domiciliary care unit', 'Geriatric assessment unit', 'Hospice care unit', 'Nursing home care unit', 'Rehabilitation unit']"
Ballina Day Surgery,Private,"Suite 6, 46 Tamar Street","Ballina, NSW 2478","
02 6681 9999
",http://www.bhs.org.au,< 50,,[]
Ballina Hospital,Public,78-92 Cherry Street,"Ballina, NSW 2478","
02 6686 2111
",http://www.bhs.org.au,50–99,,"['Domiciliary care unit', 'Emergency department', 'Maintenance renal dialysis unit', 'Oncology unit', 'Rehabilitation unit']"
Balmain Hospital,Public,29 Booth Street,"Balmain, NSW 2041","
02 9395 2111
",http://www.sswahs.nsw.gov.au/balmain/default.html,50–99,,"['Clinical genetics unit', 'Emergency services', 'Geriatric assessment unit', 'Rehabilitation unit']"
Balranald Multi Purpose Service,Public,41-43 Court Street,"Balranald, NSW 2715","
03 5071 9800
",http://www.sswahs.nsw.gov.au/balmain/default.html,< 50,,"['Domiciliary care unit', 'Emergency department', 'Nursing home care unit']"
Bamaga Hospital,Public,Sagaukaz Street,"Bamaga, Qld 4876","
07 4069 3166
",https://www.health.qld.gov.au/services/torres-cape/torres_bamaga_hosp,< 50,,['Emergency services']
Bankstown Lidcombe Hospital,Public,68 Eldridge Road,"Bankstown, NSW 2200","
02 9722 8000
",https://www.swslhd.health.nsw.gov.au/bankstown/,200–500,,"['Alcohol and drug unit', 'Coronary care unit', 'Diabetes unit', 'Domiciliary care unit', 'Emergency department', 'Geriatric assessment unit', 'Infectious diseases unit', 'Intensive care unit', 'Maintenance renal dialysis unit', 'Obstetric services', 'Paediatric service', 'Psychiatric unit', 'Rehabilitation unit']"
Baradine Multi Purpose Service,Public,5-9 Macquarie Street,"Baradine, NSW 2396","
02 6843 4100
",https://www.swslhd.health.nsw.gov.au/bankstown/,< 50,,['Emergency department']
Baralaba Hospital,Public,Stopford Street,"Baralaba, Qld 4702","
07 4998 2800
",http://www.health.qld.gov.au/services/central-queensland/baralaba.asp,< 50,,['Emergency services']
Barcaldine Hospital,Public,Oak Street,"Barcaldine, Qld 4725","
07 4650 4000
",http://www.health.qld.gov.au/services/centralwest/cwest_barc_hosp.asp,< 50,,"['Domiciliary care unit', 'Emergency services', 'Nursing home care unit']"
Barham Hospital,Public,70 Punt Road,"Barham, NSW 2732","
03 5451 1000
",http://www.health.qld.gov.au/services/centralwest/cwest_barc_hosp.asp,< 50,,"['Alcohol and drug unit', 'Domiciliary care unit', 'Emergency department', 'Nursing home care unit']"
Baringa Private Hospital,Private,31 Mackays Road,"Coffs Harbour, NSW 2450","
02 6659 4444
",http://www.baringaprivate.com.au,50–99,Member of Ramsay Health Care Australia Pty Ltd,['Hospice care unit']
Barmera Health Service,Public,Hawdon Street,"Barmera, SA 5345","
08 8588 0400
",http://www.sahealth.sa.gov.au/barmerahospital,< 50,Member of Ramsay Health Care Australia Pty Ltd,"['Domiciliary care unit', 'Emergency services', 'Nursing home care unit']"
Barraba Multi Purpose Service,Public,Edward Street,"Barraba, NSW 2347","
02 6782 2500
",http://www.sahealth.sa.gov.au/barmerahospital,< 50,Member of Ramsay Health Care Australia Pty Ltd,"['Domiciliary care unit', 'Emergency department', 'Hospice care unit', 'Nursing home care unit']"
Bass Coast Regional Health,Public,235 Graham Street,"Wonthaggi, Vic 3995","
03 5671 3333
",http://www.bcrh.com.au,50–99,Member of Ramsay Health Care Australia Pty Ltd,"['Domiciliary care unit', 'Emergency department', 'Geriatric assessment unit', 'Hospice care unit', 'Maintenance renal dialysis unit', 'Nursing home care unit', 'Obstetric services']"
Batemans Bay Hospital,Public,7 Pacific Street,"Batemans Bay, NSW 2536","
02 4475 1500
",http://www.bcrh.com.au,< 50,Member of Ramsay Health Care Australia Pty Ltd,"['Alcohol and drug unit', 'Domiciliary care unit', 'Emergency department', 'Rehabilitation unit']"
Bathurst Health Service,Public,361-365 Howick Street,"Bathurst, NSW 2795","
02 6330 5311
",http://www.bcrh.com.au,100–199,Member of Ramsay Health Care Australia Pty Ltd,"['Acute renal dialysis unit', 'Alcohol and drug unit', 'Coronary care unit', 'Emergency department', 'Intensive care unit', 'Maintenance renal dialysis unit', 'Obstetric services', 'Oncology unit', 'Paediatric service', 'Psychiatric unit', 'Rehabilitation unit']"
Bathurst Private Hospital,Private,Gorman's Hill Road,"Bathurst, NSW 2795","
02 6331 7766
",http://www.bathurstprivate.com.au,< 50,,[]
Batlow/Adelong Multi Purpose Service,Public,61-81 Pioneer Street,"Batlow, NSW 2730","
02 6941 4333
",http://www.bathurstprivate.com.au,< 50,,"['Alcohol and drug unit', 'Domiciliary care unit', 'Emergency department', 'Nursing home care unit']"
Beaconsfield District Health Service,Public,13 Bolton Street,"Beaconsfield, Tas 7270","
03 6702 6060
",http://www.dhhs.tas.gov.au/service_information/service_delivery_points/beaconsfield_district_health_service,< 50,,[]
Beaudesert Hospital,Public,64 Tina Street,"Beaudesert, Qld 4285","
07 5541 9111
",http://www.health.qld.gov.au/services/metrosouth/beau-hosp.asp,< 50,,['Emergency services']
Beaufort & Skipton Health Service [Beaufort],Public,28 Havelock Street,"Beaufort, Vic 3373","
03 5349 1600
",http://www.bashs.org.au/services,< 50,,"['Emergency services', 'Nursing home care unit']"
Beaufort & Skipton Health Service [Skipton],Public,Blake Street,"Skipton, Vic 3361","
03 5340 1100
",http://www.bashs.org.au/services,< 50,,"['Emergency services', 'Nursing home care unit']"
Beechworth Health Service,Public,52 Sydney Road,"Beechworth, Vic 3747","
03 5728 0200
",http://www.beechworthhealthservice.com.au,< 50,,"['Emergency services', 'Nursing home care unit', 'Psychiatric unit']"
Bega Valley Private Hospital,Private,31 Parker Street,"Bega, NSW 2550","
02 6492 4144
",http://www.pulsehealth.net.au,< 50,Member of Healthe Care,[]
Beleura Private Hospital,Private,925 Nepean Highway,"Mornington, Vic 3931","
03 5976 0888
",http://www.beleuraprivate.com.au,100–199,Member of Ramsay Health Care Australia Pty Ltd,['Psychiatric unit']
Bellbird Private Hospital,Private,198 Canterbury Road,"Blackburn South, Vic 3130","
03 9845 2333
",http://www.bellbirdprivatehospital.com.au,< 50,Member of Healthscope,[]
Bellinger River District Hospital,Public,43 Church Street,"Bellingen, NSW 2454","
02 6659 5800
",http://www.bellbirdprivatehospital.com.au,< 50,Member of Healthscope,"['Domiciliary care unit', 'Emergency department', 'Obstetric services']"
Belmont Hospital,Public,16 Croudace Bay Road,"Belmont, NSW 2280","
02 4923 2000
",http://www.bellbirdprivatehospital.com.au,50–99,Member of Healthscope,"['Alcohol and drug unit', 'Coronary care unit', 'Domiciliary care unit', 'Emergency department', 'Geriatric assessment unit', 'Nursing home care unit', 'Obstetric services', 'Rehabilitation unit']"
Benalla & District Memorial Hospital,Public,45-53 Coster Street,"Benalla, Vic 3672","
03 5760 2222
",http://www.benallahospital.com.au,50–99,Member of Healthscope,"['Domiciliary care unit', 'Emergency services', 'Nursing home care unit', 'Obstetric services', 'Rehabilitation unit']"
Bendigo Health Care Group [Anne Caudle],Public,100 Barnard Street,"Bendigo, Vic 3550","
03 5454 6000
",http://www.bendigohealth.com.au,50–99,Member of Healthscope,"['Domiciliary care unit', 'Geriatric assessment unit', 'Hospice care unit', 'Nursing home care unit', 'Rehabilitation unit']"
Bentley Hospital,Public,18-56 Mills Street,"Bentley, WA 6102","
08 9416 3666
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=16,100–199,Member of Healthscope,"['Obstetric services', 'Psychiatric unit', 'Rehabilitation unit']"
Berkeley Vale Private Hospital,Private,Lorraine Avenue,"Berkeley Vale, NSW 2261","
02 4389 9100
",http://www.berkeleyvaleprivate.com.au,50–99,Member of Ramsay Health Care Australia Pty Ltd,[]
Berrigan Multi Purpose Service,Public,137-143 Memorial Place,"Berrigan, NSW 2712","
03 5888 5300
",http://www.berkeleyvaleprivate.com.au,< 50,Member of Ramsay Health Care Australia Pty Ltd,"['Alcohol and drug unit', 'Domiciliary care unit', 'Emergency department', 'Nursing home care unit']"
Berwick Eye and Surgicentre,Private,22 Langmore Lane,"Berwick, Vic 3806","
03 9768 9210
",http://www.berwickeye.com.au,< 50,,[]
Bethesda Hospital,Private,25 Queenslea Drive,"Claremont, WA 6010","
08 9340 6300
",http://www.bethesda.asn.au,50–99,,['Hospice care unit']
Beverley Hospital,Public,Sewell Street,"Beverley, WA 6304","
08 9646 3200
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=18,< 50,,"['Domiciliary care unit', 'Emergency services', 'Hospice care unit', 'Nursing home care unit']"
Biggenden Hospital,Public,Alice Street,"Biggenden, Qld 4621","
07 4127 6400
",http://www.health.qld.gov.au/services/widebay/wb-biggenden.asp,< 50,,['Emergency services']
Biloela Hospital,Public,2 Hospital Road,"Biloela, Qld 4715","
07 4992 7000
",http://www.health.qld.gov.au/services/central-queensland/biloela.asp,< 50,,"['Emergency services', 'Obstetric services']"
Bingara Multi Purpose Service,Public,Keera Street,"Bingara, NSW 2404","
02 6728 0100
",http://www.health.qld.gov.au/services/central-queensland/biloela.asp,< 50,,"['Domiciliary care unit', 'Emergency department', 'Nursing home care unit']"
Blackall Hospital,Public,Shamrock Street,"Blackall, Qld 4472","
07 4650 7700
",http://www.health.qld.gov.au/services/centralwest/cwest_blackall_hosp.asp,< 50,,"['Domiciliary care unit', 'Emergency services']"
Blacktown Hospital,Public,Blacktown Road,"Blacktown, NSW 2148","
02 9881 8000
",http://www.wslhd.health.nsw.gov.au/Blacktown-Mount-Druitt-Hospital,200–500,,"['Acute renal dialysis unit', 'Alcohol and drug unit', 'Coronary care unit', 'Diabetes unit', 'Domiciliary care unit', 'Emergency department', 'Geriatric assessment unit', 'Infectious diseases unit', 'Intensive care unit', 'Maintenance renal dialysis unit', 'Obstetric services', 'Oncology unit', 'Psychiatric unit', 'Rehabilitation unit']"
Blackwater Hospital,Public,Mackenzie Street,"Blackwater, Qld 4717","
07 4980 1800
",http://www.health.qld.gov.au/services/central-queensland/blackwater.asp,< 50,,['Emergency services']
Blayney Multi Purpose Service,Public,3 Osman Street,"Blayney, NSW 2799","
02 6368 9000
",http://www.health.qld.gov.au/services/central-queensland/blackwater.asp,< 50,,"['Domiciliary care unit', 'Emergency department', 'Nursing home care unit']"
Blue Mountains Hospital,Public,Lot 3 Woodlands Road,"Katoomba, NSW 2780","
02 4784 6500
",http://www.nbmlhd.health.nsw.gov.au/Blue-Mountains-Hospital,50–99,,"['Alcohol and drug unit', 'Domiciliary care unit', 'Emergency department', 'Geriatric assessment unit', 'Obstetric services', 'Paediatric service', 'Psychiatric unit', 'Rehabilitation unit']"
Boddington Hospital,Public,46-53 Hotham Avenue,"Boddington, WA 6390","
08 9883 4444
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=19,< 50,,"['Domiciliary care unit', 'Emergency services', 'Hospice care unit', 'Nursing home care unit']"
Boggabri Multi Purpose Service,Public,3 Wee Waa Street,"Boggabri, NSW 2382","
02 6749 7000
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=19,< 50,,"['Domiciliary care unit', 'Emergency department', 'Hospice care unit', 'Nursing home care unit']"
Bombala Multi Purpose Service,Public,126-128 Wellington Street,"Bombala, NSW 2632","
02 6458 5777
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=19,< 50,,"['Alcohol and drug unit', 'Domiciliary care unit', 'Emergency department', 'Nursing home care unit']"
Bonalbo Hospital,Public,Clarence Way,"Bonalbo, NSW 2469","
02 6665 1203
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=19,< 50,,"['Domiciliary care unit', 'Emergency services']"
Booleroo Centre District Hospital and Health Services,Public,Stephens Street,"Booleroo Centre, SA 5482","
08 8667 2211
",http://www.sahealth.sa.gov.au/booleroohospital,< 50,,"['Domiciliary care unit', 'Emergency services', 'Nursing home care unit']"
Boonah Hospital,Public,11-17 Leonard Street,"Boonah, Qld 4310","
07 5463 3300
",http://www.health.qld.gov.au/services/westmoreton/boonah-hs.asp,< 50,,['Emergency services']
Boorowa Multi Purpose Service,Public,62-80 Dry Street,"Boorowa, NSW 2586","
02 6385 3004
",http://www.health.qld.gov.au/services/westmoreton/boonah-hs.asp,< 50,,"['Alcohol and drug unit', 'Domiciliary care unit', 'Emergency department', 'Nursing home care unit']"
Boort District Health,Public,31 Kiniry Street,"Boort, Vic 3537","
03 5451 5200
",http://www.bdh.vic.gov.au,< 50,,"['Domiciliary care unit', 'Emergency services', 'Nursing home care unit']"
Bordertown Memorial Hospital,Public,23 South Terrace,"Bordertown, SA 5268","
08 8752 9000
",http://www.sahealth.sa.gov.au/bordertownhospital,< 50,,"['Domiciliary care unit', 'Emergency services', 'Nursing home care unit']"
Bourke Multi Purpose Service,Public,26 Tarcoon Street,"Bourke, NSW 2840","
02 6870 8888
",http://www.sahealth.sa.gov.au/bordertownhospital,< 50,,['Emergency department']
Bourke Street Health Service,Public,234 Bourke Street,"Goulburn, NSW 2580","
02 4823 7800
",http://www.sahealth.sa.gov.au/bordertownhospital,< 50,,"['Geriatric assessment unit', 'Hospice care unit', 'Oncology unit', 'Psychiatric unit', 'Rehabilitation unit']"
Bowen Hospital,Public,Gregory Street,"Bowen, Qld 4805","
07 4786 8222
",http://www.health.qld.gov.au/services/mackay/bowen_hosp.asp,< 50,,['Emergency services']
Bowral Hospital,Public,Lot 3 Mona Road,"Bowral, NSW 2576","
02 4861 0200
",https://www.swslhd.health.nsw.gov.au/bowral/,50–99,,"['Emergency department', 'Geriatric assessment unit', 'Maintenance renal dialysis unit', 'Obstetric services', 'Paediatric service', 'Psychiatric unit', 'Rehabilitation unit']"
Box Hill Hospital,Public,8 Arnold Street,"Box Hill, Vic 3128","
1300 342 255
",https://www.easternhealth.org.au/locations/box-hill-hospital,200–500,,"['Acute renal dialysis unit', 'Alcohol and drug unit', 'Coronary care unit', 'Diabetes unit', 'Domiciliary care unit', 'Emergency department', 'Infectious diseases unit', 'Intensive care unit', 'Maintenance renal dialysis unit', 'Major plastic or reconstructive surgery unit', 'Obstetric services', 'Oncology unit', 'Paediatric service', 'Psychiatric unit', 'Sleep centre']"
Boyup Brook Soldiers Memorial Hospital,Public,Hospital Road,"Boyup Brook, WA 6244","
08 9765 0222
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=20,< 50,,"['Domiciliary care unit', 'Emergency services', 'Geriatric assessment unit', 'Nursing home care unit']"
Braeside Hospital,Public,340 Prairie Vale Road,"Prairiewood, NSW 2176","
02 9616 8600
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=20,50–99,,"['Domiciliary care unit', 'Hospice care unit', 'Psychiatric unit', 'Rehabilitation unit']"
Braidwood Multi Purpose Service,Public,77 Monkittee Street,"Braidwood, NSW 2622","
02 4842 2566
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=20,< 50,,"['Alcohol and drug unit', 'Domiciliary care unit', 'Emergency department', 'Nursing home care unit']"
Brewarrina Multi Purpose Service,Public,56 Doyle Street,"Brewarrina, NSW 2839","
02 6830 5000
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=20,< 50,,['Emergency department']
Bridgetown Hospital,Public,16-18 Peninsula Road,"Bridgetown, WA 6255","
08 9782 1222
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=22,< 50,,"['Domiciliary care unit', 'Emergency services', 'Geriatric assessment unit', 'Nursing home care unit', 'Obstetric services']"
Brindabella Endoscopy and Day Surgery Centre,Private,"Suite 7, 5 Dann Close","Garran, ACT 2605","
02 6282 7788
",http://www.curagroup.com.au/brindabella-endoscopy-centre,< 50,Member of Cura Day Hospitals Group,[]
Brisbane Endoscopy Services,Private,Suites 16-18/259 McCullough Street,"Sunnybank, Qld 4109","
07 3344 1844
",http://www.gastros.com.au,< 50,,[]
Brisbane Private Hospital,Private,259 Wickham Terrace,"Brisbane, Qld 4000","
07 3834 6111
",http://www.brisbaneprivatehospital.com.au,100–199,Member of Healthscope,"['Intensive care unit', 'Paediatric service', 'Psychiatric unit']"
Brisbane Waters Private Hospital,Private,21 Vidler Avenue,"Woy Woy, NSW 2256","
02 4341 9522
",http://www.brisbanewatersprivatehospital.com.au,50–99,Member of Healthscope,"['Coronary care unit', 'Intensive care unit', 'Paediatric service', 'Psychiatric unit']"
Broadmeadows Health Service,Public,35 Johnstone Street,"Broadmeadows, Vic 3047","
03 8345 5000
",http://www.brisbanewatersprivatehospital.com.au,100–199,Member of Healthscope,"['Geriatric assessment unit', 'Hospice care unit', 'Maintenance renal dialysis unit', 'Psychiatric unit', 'Rehabilitation unit']"
Broken Hill Hospital,Public,176 Thomas Street,"Broken Hill, NSW 2880","
08 8080 1333
",http://www.brisbanewatersprivatehospital.com.au,50–99,Member of Healthscope,"['Coronary care unit', 'Domiciliary care unit', 'Emergency department', 'Intensive care unit', 'Maintenance renal dialysis unit', 'Obstetric services', 'Paediatric service', 'Psychiatric unit', 'Rehabilitation unit']"
Broome Hospital,Public,Robinson Street,"Broome, WA 6725","
08 9194 2222
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=24,< 50,Member of Healthscope,"['Emergency department', 'Obstetric services', 'Psychiatric unit']"
Bruce Rock Memorial Hospital,Public,35 Dunstall Street,"Bruce Rock, WA 6418","
08 9061 1311
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=25,< 50,Member of Healthscope,"['Domiciliary care unit', 'Emergency services', 'Hospice care unit', 'Nursing home care unit']"
